sys_bd_linea_pdn.descripcion,Provincia,org_ficha_organizacion.nombre,producto,cantidad_final,Departamento,valor_inicial,valor_final,cantidad_inicial,F.Registral,Distrito,timestamp,length
GASTRONOMIA,QUISPICANCHI,ASOCIACION DEL FESTIVAL GASTRONOMICO VIRGEN NATIVIDAD DE HUASAO,ENROLLADO DE GALLINA,1440,CUSCO,0,21600,0,11085490,OROPESA,,
OREGANO,TARATA,ASOCIACION EMPRENDEDOR DE LOS ANDES,OREGANO SECO ORGANICO DE PRIMERA,2300,TACNA,11600,23000,2000,11086283,TARUCACHI,,
OREGANO,TARATA,ASOCIACION EMPRENDEDOR DE LOS ANDES,OREGANO SECO,19950,TACNA,77900,129675,15580,11086283,TARUCACHI,,
MIEL DE ABEJA,TARATA,ASOCIACION EMPRENDEDOR DE LOS ANDES,JALEA REAL,300,TACNA,5000,9000,200,11086283,TARUCACHI,,
MIEL DE ABEJA,TARATA,ASOCIACION EMPRENDEDOR DE LOS ANDES,MIEL,540,TACNA,8800,10800,440,11086283,TARUCACHI,,
MIEL DE ABEJA,TARATA,ASOCIACION EMPRENDEDOR DE LOS ANDES,POLEN,100,TACNA,700,1000,70,11086283,TARUCACHI,,
MIEL DE ABEJA,TARATA,ASOCIACION EMPRENDEDOR DE LOS ANDES,PROPOLEO,80,TACNA,780,1040,65,11086283,TARUCACHI,,
OVEJAS,PARURO,ASOCIACION DE PRODUCTORES AGROPECUARIOS RICCHARY AYLLU DE LA COMUNIDAD CAMPESINA DE MACHAYBAMBA KARHUACALLA,OVINOS DE SACA,150,CUSCO,0,12000,0,11090230,PACCARITAMBO,,
TURISMO,PUNO,ASOCIACION PARA EL TURISMO PACHA MAMA SUYOS - (APTUR PACHA MAMA SUYOS),VISITA,76,PUNO,1520,3500,76,11090792,CAPACHICA,,
ALPACAS,CAYLLOMA,ASOCIACION DE CRIADORES DE CAMELIDOS SUDAMERICANOS DEL DISTRITO DE TUTI Y ANEXO RAN RAN,FIBRA CATEGORIZADA,1500,AREQUIPA,1100,4950,300,11091903,TUTI,,
ALPACAS,CAYLLOMA,ASOCIACION DE CRIADORES DE CAMELIDOS SUDAMERICANOS DEL DISTRITO DE TUTI Y ANEXO RAN RAN,CARCASA,900,AREQUIPA,2100,6300,300,11091903,TUTI,,
ALPACAS,CAYLLOMA,ASOCIACION DE CRIADORES DE CAMELIDOS SUDAMERICANOS DEL DISTRITO DE TUTI Y ANEXO RAN RAN,REPRODUCTORES MACHOS,5,AREQUIPA,0,6500,0,11091903,TUTI,,
ALPACAS,CAYLLOMA,ASOCIACION DE CRIADORES DE CAMELIDOS SUDAMERICANOS DEL DISTRITO DE TUTI Y ANEXO RAN RAN,REPRODUCTORES HEMBRAS,10,AREQUIPA,0,4500,0,11091903,TUTI,,
ALPACAS,CAYLLOMA,ASOCIACION DE CRIADORES DE CAMELIDOS SUDAMERICANOS DEL DISTRITO DE TUTI Y ANEXO RAN RAN,FIBRA CLASIFICADA,2700,AREQUIPA,38400,111601,1200,11091903,TUTI,,
ROPA,AZANGARO,ASOCIACION DE PRODUCTORES AGROPECUARIOS VIRGEN DEL CARMEN DE SAMAN,CHOMPAS,15,PUNO,0,750,0,11105171,SAMAN,,
ROPA,AZANGARO,ASOCIACION DE PRODUCTORES AGROPECUARIOS VIRGEN DEL CARMEN DE SAMAN,GUANTES,15,PUNO,0,150,0,11105171,SAMAN,,
ROPA,AZANGARO,ASOCIACION DE PRODUCTORES AGROPECUARIOS VIRGEN DEL CARMEN DE SAMAN,MEDIAS,10,PUNO,0,60,0,11105171,SAMAN,,
PORCINOS,MELGAR,ASOCIACION DE PRODUCTORES WIÑAY KAUSAY UMACHIRI,PORCINOS ENGORDADOS,42,PUNO,1200,10500,10,11105358,UMACHIRI,,
OVEJAS,MELGAR,GANADEROS ASOCIADOS CENTRO PAYLLA UMACHIRI,OVINO ENGORDADO,65,PUNO,3000,12480,24,11105371,UMACHIRI,,
OVEJAS,MELGAR,GANADEROS ASOCIADOS CENTRO PAYLLA UMACHIRI,LECHE DE OVINO,125,PUNO,0,500,0,11105371,UMACHIRI,,
